
Part,Section,Content
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which need not be performed,62,"Effect of novation, rescission, and alteration of contract.— If the parties to a contract agree to substitute a new contract for it, or to rescind or alter it, the original contract, need not be performed. Illustrations: (a) A owes money to B under a contract. It is agreed between A, B and C that B shall thenceforth accept C as his debtor, instead of A. The old debt of A to B is at an end, and a new debt from C to B has been contracted. (b) A owes B 10,000 rupees. A enters into an arrangement with B and gives B a mortgage of his (A’s) estate for 5,000 rupees in place of the debt of 10,000 rupees. This is a new contract and extinguishes the old. (c) A owes B 1,000 rupees under a contract. B orders A to credit C with 1,000 rupees in his books, but C does not assent to the arrangement. B still owes C 1,000 rupees, and no new contract has been entered into."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which need not be performed,63,"Promisee may dispense with or remit performance of promise.— Every promisee may dispense with or remit, wholly or in part, the performance of the promise made to him, or may extend the time for such performance, or may accept instead of it any satisfaction which he thinks fit. Illustrations: (a) A promises to paint a picture for B. B afterwards forbids him to do so. A is no longer bound to perform the promise. (b) A owes B 5,000 rupees. A pays to B, and B accepts, in satisfaction of the whole debt, 2,000 rupees paid at the time and place at which the 5,000 rupees were payable. The whole debt is discharged. (c) A owes B 5,000 rupees. C pays to B 1,000 rupees, and B accepts them, in satisfaction of his claim on A. This payment is a discharge of the whole claim. (d) A owes B, under a contract, a sum of money, the amount of which has not been ascertained. A, without ascertaining the amount, gives to B, and B, in satisfaction thereof, accepts, the sum of 2,000 rupees. This is a discharge of the whole debt, whatever may be its amount. (e) A owes B 2,000 rupees, and is also indebted to other creditors. A makes an arrangement with his creditors, including B, to pay them a composition of eight annas in the rupee upon their respective demands. Payment to B of 1,000 rupees is a discharge of B’s demand."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which need not be performed,64,"Consequences of rescission of voidable contract.— When a person at whose option a contract is voidable rescinds it, the other party thereto need not perform any promise therein contained in which he is promisor. The party rescinding a voidable contract shall, if he have received any benefit thereunder from another party to such contract, restore such benefit, so far as may be, to the person from whom it was received."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which need not be performed,65,"Obligation of person who has received advantage under void agreement, or contract that becomes void.— When an agreement is discovered to be void, or when a contract becomes void, any person who has received any advantage under such agreement or contract is bound to restore it, or to make compensation for it to the person from whom he received it. Illustrations: (a) A pays B 1,000 rupees in consideration of B’s promising to marry C, A’s daughter. C is dead at the time of the promise. The agreement is void, but B must repay A the 1,000 rupees. (b) A contracts with B to deliver to him 250 maunds of rice before the first of May. A delivers 130 maunds only before that day, and none after. B retains the 130 maunds after the first of May. He is bound to pay A for them. (c) A, a singer, contracts with B, the manager of a theatre, to sing at his theatre for two nights in every week during the next two months, and B engages to pay her a hundred rupees for each night’s performance. On the sixth night, A wilfully absents herself from the theatre, and B, in consequence, rescinds the contract. B must pay A for the five nights on which she had sung. (d) A contracts to sing for B at a concert for 1,000 rupees, which are paid in advance. A is too ill to sing. A is not bound to make compensation to B for the loss of the profits which B would have made if A had been able to sing, but must refund to B the 1,000 rupees paid in advance."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which need not be performed,66,"Mode of communicating or revoking rescission of voidable contract.— The rescission of a voidable contract may be communicated or revoked in the same manner, and subject to the same rules, as apply to the communication or revocation of a proposal."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which need not be performed,67,"Effect of neglect of promisee to afford promisor reasonable facilities for performance.— If any promisee neglects or refuses to afford the promisor reasonable facilities for the performance of his promise, the promisor is excused by such neglect or refusal as to any non-performance caused thereby. Illustration: A contracts with B to repair B’s house. B neglects or refuses to point out to A the places in which his house requires repair. A is excused for the non-performance of the contract if it is caused by such neglect or refusal."
CHAPTER V : OF CERTAIN RELATIONS RESEMBLING THOSE CREATED BY CONTRACT,68,"Claim for necessaries supplied to person incapable of contracting, or on his account.— If a person, incapable of entering into a contract, or any one whom he is legally bound to support, is supplied by another person with necessaries suited to his condition in life, the person who has furnished such supplies is entitled to be reimbursed from the property of such incapable person. Illustrations: (a) A supplies B, a lunatic, with necessaries suitable to his condition in life. A is entitled to be reimbursed from B’s property. (b) A supplies the wife and children of B, a lunatic, with necessaries suitable to their condition in life. A is entitled to be reimbursed from B’s property."
CHAPTER V : OF CERTAIN RELATIONS RESEMBLING THOSE CREATED BY CONTRACT,69,"Reimbursement of person paying money due by another, in payment of which he is interested.— A person who is interested in the payment of money which another is bound by law to pay, and who therefore pays it, is entitled to be reimbursed by the other. Illustration: B holds land in Bengal, on a lease granted by A, the zamindar. The revenue payable by A to the Government being in arrear, his land is advertised for sale by the Government. Under the revenue law, the consequence of such sale will be the annulment of B’s lease. B, to prevent the sale and the consequent annulment of his own lease, pays to the Government the sum due from A. A is bound to make good to B the amount so paid."
CHAPTER V : OF CERTAIN RELATIONS RESEMBLING THOSE CREATED BY CONTRACT,70,"Obligation of person enjoying benefit of non-gratuitous act.— Where a person lawfully does anything for another person, or delivers anything to him, not intending to do so gratuitously, and such other person enjoys the benefit thereof, the latter is bound to make compensation to the former in respect of, or to restore, the thing so done or delivered. Illustrations: (a) A, a tradesman, leaves goods at B’s house by mistake. B treats the goods as his own. He is bound to pay A for them. (b) A saves B’s property from fire. A is not entitled to compensation from B, if the circumstances show that he intended to act gratuitously."
CHAPTER V : OF CERTAIN RELATIONS RESEMBLING THOSE CREATED BY CONTRACT,71,"Responsibility of finder of goods.— A person who finds goods belonging to another, and takes them into his custody, is subject to the same responsibility as a bailee."
CHAPTER V : OF CERTAIN RELATIONS RESEMBLING THOSE CREATED BY CONTRACT,72,"Liability of person to whom money is paid, or thing delivered, by mistake or under coercion.— A person to whom money has been paid, or anything delivered, by mistake or under coercion, must repay or return it. Illustrations: (a) A and B jointly owe 100 rupees to C, A alone pays the amount to C, and B, not knowing this fact, pays 100 rupees over again to C. C is bound to repay the amount to B. (b) A railway company refuses to deliver up certain goods to the consignee, except upon the payment of an illegal charge for carriage. The consignee pays the sum charged in order to obtain the goods. He is entitled to recover so much of the charge as was illegally excessive."
CHAPTER VI : OF THE CONSEQUENCES OF BREACH OF CONTRACT,73,"Compensation for loss or damage caused by breach of contract.— When a contract has been broken, the party who suffers by such breach is entitled to receive, from the party who has broken the contract, compensation for any loss or damage caused to him thereby, which naturally arose in the usual course of things from such breach, or which the parties knew, when they made the contract, to be likely to result from the breach of it. Such compensation is not to be given for any remote and indirect loss or damage sustained by reason of the breach. Compensation for failure to discharge obligation resembling those created by contract.— When an obligation resembling those created by contract has been incurred and has not been discharged, any person injured by the failure to discharge it is entitled to receive the same compensation from the party in default, as if such person had contracted to discharge it and had broken his contract. Explanation.— In estimating the loss or damage arising from a breach of contract, the means which existed of remedying the inconvenience caused by the non-performance of the contract must be taken into account."
CHAPTER VI : OF THE CONSEQUENCES OF BREACH OF CONTRACT,74,"Compensation for breach of contract where penalty stipulated for.— When a contract has been broken, if a sum is named in the contract as the amount to be paid in case of such breach, or if the contract contains any other stipulation by way of penalty, the party complaining of the breach is entitled, whether or not actual damage or loss is proved to have been caused thereby, to receive from the party who has broken the contract reasonable compensation not exceeding the amount so named or, as the case may be, the penalty stipulated for. Explanation.— A stipulation for increased interest from the date of default may be a stipulation by way of penalty. Exception.— When any person enters into any bail-bond, recognizance or other instrument of the same nature, or, under the provisions of any law, or under the orders of the Central Government or of any State Government, gives any bond for the performance of any public duty or act in which the public are interested, he shall be liable, upon breach of the condition of any such instrument, to pay the whole sum mentioned therein. Explanation.— A person who enters into a contract with Government does not necessarily thereby undertake any public duty, or promise to do an act in which the public are interested."
CHAPTER VI : OF THE CONSEQUENCES OF BREACH OF CONTRACT,75,"Party rightfully rescinding contract, entitled to compensation.— A person who rightfully rescinds a contract is entitled to compensation for any damage which he has sustained through the non-fulfilment of the contract. Illustration: A, a singer, contracts with B, the manager of a theatre, to sing at his theatre for two nights in every week during the next two months, and B engages to pay her 100 rupees for each night’s performance. On the sixth night, A wilfully absents herself from the theatre, and B, in consequence, rescinds the contract. B is entitled to claim compensation for the damage which he has sustained through the non-fulfilment of the contract."
CHAPTER VII,76,"[Repealed.]"
CHAPTER VII,77,"[Repealed.]"
CHAPTER VII,78,"[Repealed.]"
CHAPTER VII,79,"[Repealed.]"
CHAPTER VII,80,"[Repealed.]"
CHAPTER VII,81,"[Repealed.]"
CHAPTER VII,82,"[Repealed.]"
CHAPTER VII,83,"[Repealed.]"
CHAPTER VII,84,"[Repealed.]"
CHAPTER VII,85,"[Repealed.]"
CHAPTER VII,86,"[Repealed.]"
CHAPTER VII,87,"[Repealed.]"
CHAPTER VII,88,"[Repealed.]"
CHAPTER VII,89,"[Repealed.]"
CHAPTER VII,90,"[Repealed.]"
CHAPTER VII,91,"[Repealed.]"
CHAPTER VII,92,"[Repealed.]"
CHAPTER VII,93,"[Repealed.]"
CHAPTER VII,94,"[Repealed.]"
CHAPTER VII,95,"[Repealed.]"
CHAPTER VII,96,"[Repealed.]"
CHAPTER VII,97,"[Repealed.]"
CHAPTER VII,98,"[Repealed.]"
CHAPTER VII,99,"[Repealed.]"
CHAPTER VII,100,"[Repealed.]"
CHAPTER VII,101,"[Repealed.]"
CHAPTER VII,102,"[Repealed.]"
CHAPTER VII,103,"[Repealed.]"
CHAPTER VII,104,"[Repealed.]"
CHAPTER VII,105,"[Repealed.]"
CHAPTER VII,106,"[Repealed.]"
CHAPTER VII,107,"[Repealed.]"
CHAPTER VII,108,"[Repealed.]"
CHAPTER VII,109,"[Repealed.]"
CHAPTER VII,110,"[Repealed.]"
CHAPTER VII,111,"[Repealed.]"
CHAPTER VII,112,"[Repealed.]"
CHAPTER VII,113,"[Repealed.]"
CHAPTER VII,114,"[Repealed.]"
CHAPTER VII,115,"[Repealed.]"
CHAPTER VII,116,"[Repealed.]"
CHAPTER VII,117,"[Repealed.]"
CHAPTER VII,118,"[Repealed.]"
CHAPTER VII,119,"[Repealed.]"
CHAPTER VII,120,"[Repealed.]"
CHAPTER VII,121,"[Repealed.]"
CHAPTER VII,122,"[Repealed.]"
CHAPTER VII,123,"[Repealed.]"
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,124,"'Contract of indemnity' defined.— A contract by which one party promises to save the other from loss caused to him by the conduct of the promisor himself, or by the conduct of any other person, is called a 'contract of indemnity'. Illustration: A contracts to indemnify B against the consequences of any proceedings which C may take against B in respect of a certain sum of 200 rupees. This is a contract of indemnity."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,125,"Rights of indemnity-holder when sued.— The promisee in a contract of indemnity, acting within the scope of his authority, is entitled to recover from the promisor— (1) all damages which he may be compelled to pay in any suit in respect of any matter to which the promise to indemnify applies; (2) all costs which he may be compelled to pay in any such suit if, in bringing or defending it, he did not contravene the orders of the promisor, and acted as it would have been prudent for him to act in the absence of any contract of indemnity, or if the promisor authorized him to bring or defend the suit; (3) all sums which he may have paid under the terms of any compromise of any such suit, if the compromise was not contrary to the orders of the promisor, and was one which it would have been prudent for the promisee to make in the absence of any contract of indemnity, or if the promisor authorized him to compromise the suit."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,126,"'Contract of guarantee', 'surety', 'principal debtor' and 'creditor'.— A 'contract of guarantee' is a contract to perform the promise, or discharge the liability, of a third person in case of his default. The person who gives the guarantee is called the 'surety'; the person in respect of whose default the guarantee is given is called the 'principal debtor', and the person to whom the guarantee is given is called the 'creditor'. A guarantee may be either oral or written."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,127,"Consideration for guarantee.— Anything done, or any promise made, for the benefit of the principal debtor, may be a sufficient consideration to the surety for giving the guarantee. Illustrations: (a) B requests A to sell and deliver to him goods on credit. A agrees to do so, provided C will guarantee the payment of the price of the goods. C promises to guarantee the payment in consideration of A’s promise to deliver the goods. This is a sufficient consideration for C’s promise. (b) A sells and delivers goods to B. C afterwards requests A to forbear to sue B for the debt for a year, and promises that, if he does so, C will pay for them in default of payment by B. A agrees to forbear as requested. This is a sufficient consideration for C’s promise. (c) A sells and delivers goods to B. C afterwards, without consideration, agrees to pay for them in default of B. The agreement is void."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,128,"Surety’s liability.— The liability of the surety is co-extensive with that of the principal debtor, unless it is otherwise provided by the contract. Illustration: A guarantees to B the payment of a bill of exchange by C, the acceptor. The bill is dishonoured by C. A is liable, not only for the amount of the bill, but also for any interest and charges which may have become due on it."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,129,"'Continuing guarantee'.— A guarantee which extends to a series of transactions, is called a 'continuing guarantee'. Illustrations: (a) A, in consideration that B will employ C in collecting the rent of B’s zamindari, promises B to be responsible, to the amount of 5,000 rupees, for the due collection and payment by C of those rents. This is a continuing guarantee. (b) A guarantees payment to B, a tea-dealer, to the amount of £100, for any tea he may from time to time supply to C. B supplies C with tea to above the value of £100, and C pays B for it. Afterwards, B supplies C with tea to the value of £200. C fails to pay. The guarantee given by A was a continuing guarantee, and he is accordingly liable to B to the extent of £100. (c) A guarantees payment to B of the price of five sacks of flour to be delivered by B to C and to be paid for in a month. B delivers five sacks to C. C pays for them. Afterwards B delivers four sacks to C, which C does not pay for. The guarantee given by A was not a continuing guarantee, and accordingly he is not liable for the price of the four sacks."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,130,"Revocation of continuing guarantee.— A continuing guarantee may at any time be revoked by the surety, as to future transactions, by notice to the creditor. Illustrations: (a) A, in consideration of B’s discounting, at A’s request, bills of exchange for C, guarantees to B, for twelve months, the due payment of all such bills to the extent of 5,000 rupees. B discounts bills for C to the extent of 2,000 rupees. Afterwards, at the end of three months, A revokes the guarantee. This revocation discharges A from all liability to B for any subsequent discount. But A is liable to B for the 2,000 rupees, on default of C. (b) A guarantees to B, to the extent of 10,000 rupees, that C shall pay all the bills that B shall draw upon him. B draws upon C. C accepts the bill. A gives notice of revocation. C dishonours the bill at maturity. A is liable upon his guarantee."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,131,"Revocation of continuing guarantee by surety’s death.— The death of the surety operates, in the absence of any contract to the contrary, as a revocation of a continuing guarantee, so far as regards future transactions."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,132,"Liability of two persons, primarily liable, not affected by arrangement between them that one shall be surety on other’s default.— Where two persons contract with a third person to undertake a certain liability, and also contract with each other that one of them shall be liable only on the default of the other, the third person not being a party to such contract, the liability of each of such two persons to the third person under the first contract is not affected by the existence of the second contract, although such third person may have been aware of its existence. Illustration: A and B make a joint and several promissory note to C. A makes it, in fact, as surety for B, and C knows this at the time when the note is made. The fact that A, to the knowledge of C, made the note as surety for B, is no answer to a suit by C against A upon the note."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,133,"Discharge of surety by variance in terms of contract.— Any variance, made without the surety’s consent, in the terms of the contract between the principal debtor and the creditor, discharges the surety as to transactions subsequent to the variance. Illustrations: (a) A becomes surety to C for B’s conduct as a manager in C’s bank. Afterwards, B and C contract, without A’s consent, that B’s salary shall be raised, and that he shall become liable for one-fourth of the losses on overdrafts. B allows a customer to overdraw, and the bank loses a sum of money. A is discharged from his suretyship by the variance made without his consent, and is not liable to make good this loss. (b) A guarantees C against the misconduct of B in an office to which B is appointed by C, and of which the duties are defined by an Act of the Legislature. By a subsequent Act, the nature of the office is materially altered. Afterwards, B misconducts himself. A is discharged by the change from future liability under his guarantee, though the misconduct of B is in respect of a duty not affected by the later Act. (c) C agrees to appoint B as his clerk to sell goods at a yearly salary, upon A’s becoming surety to C for B’s duly accounting for moneys received by him as such clerk. Afterwards, without A’s knowledge or consent, C and B agree that B should be paid by a commission on the goods sold by him and not by a fixed salary. A is not liable for subsequent misconduct of B. (d) A gives to C a continuing guarantee to the extent of 3,000 rupees for any oil supplied by C to B on credit. Afterwards B becomes embarrassed, and, without the knowledge of A, B and C contract that C shall continue to supply B with oil for ready money, and that the payments shall be applied to the then existing debts between B and C. A is not liable on his guarantee for any goods supplied after this new arrangement. (e) C contracts to lend B 5,000 rupees on the 1st March. A guarantees repayment. C pays the 5,000 rupees to B on the 1st January. A is discharged from his liability, as the contract has been varied, inasmuch as C might sue B for the money before the 1st of March."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,134,"Discharge of surety by release or discharge of principal debtor.— The surety is discharged by any contract between the creditor and the principal debtor, by which the principal debtor is released, or by any act or omission of the creditor, the legal consequence of which is the discharge of the principal debtor. Illustrations: (a) A gives a guarantee to C for goods to be supplied by C to B. C supplies goods to B, and afterwards B becomes embarrassed and contracts with his creditors (including C) to assign to them his property in consideration of their releasing him from their demands. Here B is released from his debt by the contract with C, and A is discharged from his suretyship. (b) A contracts with B to grow a crop of indigo on A’s land and to deliver it to B at a fixed rate, and C guarantees A’s performance of this contract. B diverts a stream of water which is necessary for the irrigation of A’s land and thereby prevents him from raising the indigo. C is no longer liable on his guarantee. (c) A contracts with B for a fixed price to build a house for B within a stipulated time, B supplying the necessary timber. C guarantees A’s performance of the contract. B omits to supply the timber. C is discharged from his suretyship."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,135,"Discharge of surety when creditor compounds with, gives time to, or agrees not to sue, principal debtor.— A contract between the creditor and the principal debtor, by which the creditor makes a composition with, or promises to give time to, or not to sue, the principal debtor, discharges the surety, unless the surety assents to such contract."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,136,"Surety not discharged when agreement made with third person to give time to principal debtor.— Where a contract to give time to the principal debtor is made by the creditor with a third person, and not with the principal debtor, the surety is not discharged. Illustration: C, the holder of an overdue bill of exchange drawn by A as surety for B, and accepted by B, contracts with M to give time to B. A is not discharged."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,137,"Creditor’s forbearance to sue does not discharge surety.— Mere forbearance on the part of the creditor to sue the principal debtor or to enforce any other remedy against him does not, in the absence of any provision in the guarantee to the contrary, discharge the surety. Illustration: B owes to C a debt guaranteed by A. The debt becomes payable. C does not sue B for a year after the debt has become payable. A is not discharged from his suretyship."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,138,"Release of one co-surety does not discharge others.— Where there are co-sureties, a release by the creditor of one of them does not discharge the others; neither does it free the surety so released from his responsibility to the other sureties."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,139,"Discharge of surety by creditor’s act or omission impairing surety’s eventual remedy.— If the creditor does any act which is inconsistent with the rights of the surety, or omits to do any act which his duty to the surety requires him to do, and the eventual remedy of the surety himself against the principal debtor is thereby impaired, the surety is discharged. Illustrations: (a) B contracts to build a ship for C for a given sum, to be paid by instalments as the work reaches certain stages. A becomes surety to C for B’s due performance of the contract. C, without the knowledge of A, prepays to B the last two instalments. A is discharged by this prepayment. (b) C lends money to B on the security of a joint and several promissory note made in C’s favour by B, and by A as surety for B, together with a bill of sale of B’s furniture, which gives power to C to sell the furniture, and apply the proceeds in discharge of the note. Subsequently, C sells the furniture, but, owing to his misconduct and wilful negligence, only a small price is realized. A is discharged from liability on the note. (c) A puts M as apprentice to B, and gives a guarantee to B for M’s fidelity. B promises on his part that he will, at least once a month, see M make up the cash. B omits to see this done as promised, and M embezzles. A is not liable to B on his guarantee."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,140,"Rights of surety on payment or performance.— Where a guaranteed debt has become due, or default of the principal debtor to perform a guaranteed duty has taken place, the surety upon payment or performance of all that he is liable for, is invested with all the rights which the creditor had against the principal debtor."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,141,"Surety’s right to benefit of creditor’s securities.— A surety is entitled to the benefit of every security which the creditor has against the principal debtor at the time when the contract of suretyship is entered into, whether the surety knows of the existence of such security or not; and if the creditor loses, or, without the consent of the surety, parts with such security, the surety is discharged to the extent of the value of the security. Illustrations: (a) C, advances to B, his tenant, 2,000 rupees on the guarantee of A. C has also a further security for the 2,000 rupees by a mortgage of B’s furniture. C cancels the mortgage. B becomes insolvent and C sues A on his guarantee. A is discharged from liability to the amount of the value of the furniture. (b) C, a creditor, whose advance to B is secured by a decree, receives also a guarantee for that advance from A. C afterwards takes B’s goods in execution under the decree, and then, without the knowledge of A, withdraws the execution. A is discharged. (c) A, as surety for B, makes a bond jointly with B to C, to secure a loan from C to B. Afterwards, C obtains from B a further security for the same debt. Subsequently, C gives up the further security. A is not discharged."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,142,"Guarantee obtained by misrepresentation invalid.— Any guarantee which has been obtained by means of misrepresentation made by the creditor, or with his knowledge and assent, concerning a material part of the transaction, is invalid."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,143,"Guarantee obtained by concealment invalid.— Any guarantee which the creditor has obtained by means of keeping silence as to material circumstances, is invalid. Illustrations: (a) A engages B as clerk to collect money for him. B fails to account for some of his receipts, and A in consequence calls upon him to furnish security for his duty accounting. C gives his guarantee for B’s duty accounting. A does not acquaint C with B’s previous conduct. B afterwards makes default. The guarantee is invalid. (b) A guarantees to C payment for iron to be supplied by him to B to the amount of 2,000 tons. B and C have privately agreed that B should pay five rupees per ton beyond the market price, such excess to be applied in liquidation of an old debt. This agreement is concealed from A. A is not liable as a surety."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,144,"Guarantee on contract that creditor shall not act on it until co-surety joins.— Where a person gives a guarantee upon a contract that the creditor shall not act upon it until another person has joined in it as co-surety, the guarantee is not valid if that other person does not join."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,145,"Implied promise to indemnify surety.— In every contract of guarantee there is an implied promise by the principal debtor to indemnify the surety, and the surety is entitled to recover from the principal debtor whatever sum he has rightfully paid under the guarantee, but, no sums which he has paid wrongfully. Illustrations: (a) B is indebted to C, and A is surety for the debt. C demands payment from A, and on his refusal sues him for the amount. A defends the suit, having reasonable grounds for doing so, but is compelled to pay the amount of the debt with costs. He can recover from B the amount paid by him for costs, as well as the principal debt. (b) C lends B a sum of money, and A, at the request of B, accepts a bill of exchange drawn by B upon A to secure the amount. C, the holder of the bill, demands payment of it from A, and, on A’s refusal to pay, sues him upon the bill. A, not having reasonable grounds for so doing, defends the suit, and has to pay the amount of the bill and costs. He can recover from B the amount of the bill, but not the sum paid for costs, as there was no real ground for defending the action. (c) A guarantees to C, to the extent of 2,000 rupees, payment for rice to be supplied by C to B. C supplies to B rice to a less amount than 2,000 rupees, but obtains from A payment of the sum of 2,000 rupees in respect of the rice supplied. A cannot recover from B more than the price of the rice actually supplied."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,146,"Co-sureties liable to contribute equally.— Where two or more persons are co-sureties for the same debt or duty, either jointly or severally, and whether under the same or different contracts, and whether with or without the knowledge of each other, the co-sureties, in the absence of any contract to the contrary, are liable, as between themselves, to pay each an equal share of the whole debt, or of that part of it which remains unpaid by the principal debtor. Illustrations: (a) A, B and C are sureties to D for the sum of 3,000 rupees lent to E. E makes default in payment. A, B and C are liable, as between themselves, to pay 1,000 rupees each. (b) A, B and C are sureties to D for the sum of 1,000 rupees lent to E, and there is a contract between A, B and C that A is to be responsible to the extent of one-quarter, B to the extent of one-quarter, and C to the extent of one-half. E makes default in payment. As between the sureties, A is liable to pay 250 rupees, B 250 rupees, and C 500 rupees."
CHAPTER VIII : OF INDEMNITY AND GUARANTEE,147,"Liability of co-sureties bound in different sums.— Co-sureties who are bound in different sums are liable to pay equally as far as the limits of their respective obligations permit. Illustrations: (a) A, B and C, as sureties for D, enter into three several bonds, each in a different penalty, namely, A in the penalty of 10,000 rupees, B in that of 20,000 rupees, C in that of 40,000 rupees, conditioned for D’s duly accounting to E. D makes default to the extent of 30,000 rupees. A, B and C are each liable to pay 10,000 rupees. (b) A, B and C, as sureties for D, enter into three several bonds, each in a different penalty, namely, A in the penalty of 10,000 rupees, B in that of 20,000 rupees, C in that of 40,000 rupees, conditioned for D’s duly accounting to E. D makes default to the extent of 40,000 rupees. A is liable to pay 10,000 rupees, and B and C 15,000 rupees each. (c) A, B and C, as sureties for D, enter into three several bonds, each in a different penalty, namely, A in the penalty of 10,000 rupees, B in that of 20,000 rupees, C in that of 40,000 rupees, conditioned for D’s duly accounting to E. D makes default to the extent of 70,000 rupees. A, B and C have to pay each the full penalty of his bond."
CHAPTER IX : OF BAILMENT,148,"'Bailment', 'bailor' and 'bailee' defined.— A 'bailment' is the delivery of goods by one person to another for some purpose, upon a contract that they shall, when the purpose is accomplished, be returned or otherwise disposed of according to the directions of the person delivering them. The person delivering the goods is called the 'bailor'. The person to whom they are delivered is called the 'bailee'. Explanation.— If a person already in possession of the goods of another contracts to hold them as a bailee, he thereby becomes the bailee, and the owner becomes the bailor of such goods, although they may not have been delivered by way of bailment."
CHAPTER IX : OF BAILMENT,149,"Delivery to bailee how made.— The delivery to the bailee may be made by doing anything which has the effect of putting the goods in the possession of the intended bailee or of any person authorized to hold them on his behalf."
CHAPTER IX : OF BAILMENT,150,"Bailor’s duty to disclose faults in goods bailed.— The bailor is bound to disclose to the bailee faults in the goods bailed, of which the bailor is aware, and which materially interfere with the use of them, or expose the bailee to extraordinary risks; and if he does not make such disclosure, he is responsible for damage arising to the bailee directly from such faults. If the goods are bailed for hire, the bailor is responsible for such damage, whether he was or was not aware of the existence of such faults in the goods bailed. Illustrations: (a) A lends a horse, which he knows to be vicious, to B. He does not disclose the fact that the horse is vicious. The horse runs away. B is thrown and injured. A is responsible to B for damage sustained. (b) A hires a carriage of B. The carriage is unsafe, though B is not aware of it, and A is injured. B is responsible to A for the injury."
CHAPTER IX : OF BAILMENT,151,"Care to be taken by bailee.— In all cases of bailment the bailee is bound to take as much care of the goods bailed to him as a man of ordinary prudence would, under similar circumstances, take of his own goods of the same bulk, quality and value as the goods bailed."
CHAPTER IX : OF BAILMENT,152,"Bailee when not liable for loss, etc., of thing bailed.— The bailee, in the absence of any special contract, is not responsible for the loss, destruction or deterioration of the thing bailed, if he has taken the amount of care of it described in section 151."
CHAPTER IX : OF BAILMENT,153,"Termination of bailment by bailee’s act inconsistent with conditions.— A contract of bailment is avoidable at the option of the bailor, if the bailee does any act with regard to the goods bailed, inconsistent with the conditions of the bailment. Illustration: A lets to B, for hire, a horse for his own riding. B drives the horse in his carriage. This is, at the option of A, a termination of the bailment."
CHAPTER IX : OF BAILMENT,154,"Liability of bailee making unauthorized use of goods bailed.— If the bailee makes any use of the goods bailed which is not according to the conditions of the bailment, he is liable to make compensation to the bailor for any damage arising to the goods from or during such use of them. Illustrations: (a) A lends a horse to B for his own riding only. B allows C, a member of his family, to ride the horse. C rides with care, but the horse accidentally falls and is injured. B is liable to make compensation to A for the injury done to the horse. (b) A hires a horse in Calcutta from B expressly to march to Benares. A rides with due care, but marches to Cuttack instead. The horse accidentally falls and is injured. A is liable to make compensation to B for the injury to the horse."
CHAPTER IX : OF BAILMENT,155,"Effect of mixture, with bailor’s consent, of his goods with bailee’s.— If the bailee, with the consent of the bailor, mixes the goods of the bailor with his own goods, the bailor and the bailee shall have an interest, in proportion to their respective shares, in the mixture thus produced."
CHAPTER IX : OF BAILMENT,156,"Effect of mixture without bailor’s consent, when the goods can be separated.— If the bailee, without the consent of the bailor, mixes the goods of the bailor with his own goods, and the goods can be separated or divided, the property in the goods remains in the parties respectively; but the bailee is bound to bear the expense of separation or division, and any damage arising from the mixture. Illustration: A bails 100 bales of cotton marked with a particular mark to B. B, without A’s consent, mixes the 100 bales with other bales of his own, bearing a different mark. A is entitled to have his 100 bales returned, and B is bound to bear all the expense incurred in the separation of the bales, and any other incidental damage."
